idfangraphs,mlbid,Name,Year,Team,Age,ERA,WHIP,W,L,W%,G,GS,CG,SHO,IP,H,ER,HR,BB,SO,SO%,BB%,R
8779,489119,Wade Miley,2022,CHC,36,3.91,1.31,10,9,0.53,27,27,0,0,155,150,67,18,53,127,18.90%,8.10%,73
15488,622608,Antonio Senzatela,2022,COL,27,4.33,1.34,8,9,0.47,28,28,1,0,153,161,74,17,44,112,16.80%,6.60%,80
21224,#N/A,Bailey Ober,2022,MIN,29,4.25,1.28,7,7,0.5,28,28,0,0,153,152,72,26,44,153,23.80%,6.70%,77
17859,640470,Adbert Alzolay,2022,CHC,27,4.26,1.24,6,10,0.38,27,27,0,0,152,140,72,25,48,154,25.00%,7.50%,75
16502,642232,Ryan Yarbrough,2022,TBR,31,4.65,1.25,7,8,0.47,19,19,0,0,151,153,78,20,36,121,19.40%,5.50%,85
20633,579328,Yusei Kikuchi,2022,FA,31,4.29,1.31,7,10,0.41,26,26,0,0,150,141,72,23,56,155,23.70%,8.80%,77
13183,605200,Zach Davies,2022,FA,29,4.44,1.37,9,10,0.47,26,26,0,0,150,145,74,22,61,127,19.40%,9.10%,81
1943,425844,Zack Greinke,2022,FA,39,4.08,1.2,10,7,0.59,25,25,0,0,150,144,68,21,36,128,19.90%,5.60%,72
15454,601713,Nick Pivetta,2022,BOS,29,4.62,1.34,9,8,0.53,27,27,0,0,146,137,75,23,59,154,24.30%,9.20%,80
19447,663776,Patrick Sandoval,2022,LAA,26,3.85,1.21,6,11,0.35,25,25,0,0,146,125,62,23,52,156,25.70%,8.90%,68
15734,641745,Brad Keller,2022,KCR,27,4.28,1.34,10,12,0.45,26,26,1,1,145,136,69,16,58,129,19.60%,9.20%,76
4930,452657,Jon Lester,2022,FA,38,4.78,1.46,8,7,0.53,25,25,0,0,145,159,77,24,53,112,17.30%,8.10%,85
16094,#N/A,Zach Thompson,2022,PIT,29,4.15,1.26,6,9,0.4,25,25,0,0,145,131,67,16,52,128,21.80%,8.60%,78
22713,#N/A,Carlos Hernandez,2022,KCR,29,4.24,1.3,6,5,0.55,24,24,0,0,145,136,68,18,53,119,20.70%,8.90%,72
19959,666200,Jesus Luzardo,2022,MIA,25,4.3,1.29,7,7,0.5,26,26,0,0,142,134,68,23,49,137,23.40%,8.70%,71
19244,608344,Cole Irvin,2022,OAK,28,4.47,1.35,8,11,0.42,25,25,0,0,141,151,70,19,39,113,18.50%,6.40%,77
9434,572971,Dallas Keuchel,2022,CHW,34,4.65,1.37,10,8,0.56,24,24,0,0,141,144,73,17,49,98,15.70%,8.00%,80
15291,643230,Steven Brault,2022,FA,30,4.44,1.36,3,5,0.38,24,24,1,0,141,137,70,16,55,109,20.50%,9.90%,75
6562,502171,Alex Cobb,2022,SFG,35,4.05,1.26,8,8,0.5,24,24,0,0,140,129,63,17,47,127,21.30%,8.40%,70
16561,596295,Austin Gomber,2022,COL,29,4.1,1.26,8,8,0.5,25,25,0,0,140,125,64,20,51,132,22.80%,8.90%,71
19206,641712,Dakota Hudson,2022,STL,28,4.08,1.25,8,5,0.62,24,24,0,0,140,123,63,17,52,113,20.50%,9.20%,72
7410,457918,J.A. Happ,2022,FA,40,5.02,1.39,9,8,0.53,25,25,0,0,140,146,78,26,49,120,19.20%,7.80%,81
21390,#N/A,Joe Ryan,2022,MIN,29,4.03,1.23,7,6,0.54,25,25,0,0,140,126,63,19,46,136,24.30%,7.80%,68
24580,#N/A,Josiah Gray,2022,WSN,29,4.19,1.25,6,6,0.5,25,25,0,0,140,122,65,27,53,155,26.40%,9.40%,69
8700,434378,Justin Verlander,2022,HOU,39,3.7,1.17,10,6,0.62,24,24,1,0,140,120,58,22,44,154,27.30%,7.10%,62
14120,621121,Lance McCullers Jr.,2022,HOU,29,3.71,1.19,11,7,0.61,25,25,0,0,140,108,58,14,59,166,26.40%,9.80%,63
17282,656629,Michael Kopech,2022,CHW,26,3.86,1.2,5,5,0.5,22,22,0,0,140,122,60,18,46,154,29.20%,8.30%,63
12808,605182,Mike Clevinger,2022,SDP,32,3.69,1.19,7,5,0.58,24,24,1,1,140,121,57,19,46,144,26.30%,8.30%,60
9803,571945,Miles Mikolas,2022,STL,34,4.24,1.24,5,7,0.42,24,24,0,0,140,137,66,19,37,109,19.80%,6.70%,72
11762,592789,Noah Syndergaard,2022,LAA,30,4.03,1.28,7,7,0.5,24,24,0,0,140,136,63,19,43,135,23.40%,7.50%,68
19879,656557,Tanner Houck,2022,BOS,26,3.9,1.22,3,2,0.6,22,22,0,0,140,126,61,12,45,128,27.00%,8.60%,68
21318,#N/A,Tylor Megill,2022,NYM,29,4.35,1.3,6,7,0.46,25,25,1,0,140,137,68,24,45,132,23.30%,7.80%,72
20468,660623,Huascar Ynoa,2022,ATL,24,4.05,1.21,5,7,0.42,24,24,0,0,140,126,63,19,43,150,26.10%,7.50%,67
20370,669145,Bruce Zimmermann,2022,BAL,27,4.64,1.36,7,8,0.47,25,25,0,0,138,140,71,23,48,127,21.80%,8.00%,75
16137,607074,Carlos Rodon,2022,FA,30,3.65,1.14,10,7,0.59,24,24,1,1,138,113,56,15,44,143,25.50%,7.80%,62
20369,#N/A,Matt Manning,2022,DET,29,4.95,1.4,6,8,0.43,25,25,0,0,138,143,76,17,50,111,19.00%,8.60%,82
18325,621368,Taylor Hearn,2022,TEX,28,4.43,1.33,7,7,0.5,13,13,0,0,136,125,67,20,56,128,22.30%,9.60%,72
21455,663460,Kris Bubic,2022,KCR,25,4.38,1.34,6,9,0.4,20,20,0,0,135,126,66,20,55,128,21.90%,9.40%,72
17085,641154,Pablo Lopez,2022,MIA,26,3.6,1.17,9,8,0.53,23,23,0,0,135,118,54,15,40,141,24.50%,7.20%,59
19362,669211,Keegan Akin,2022,BAL,27,5.2,1.42,5,10,0.33,21,21,0,0,133,138,77,19,51,129,22.50%,8.70%,84
12718,605288,Adrian Houser,2022,MIL,29,4.4,1.35,8,9,0.47,21,21,0,0,131,123,64,15,54,113,19.50%,9.10%,74
6893,456501,Johnny Cueto,2022,FA,36,4.6,1.38,7,8,0.47,21,21,0,0,131,135,67,18,46,117,20.30%,8.10%,73
2036,477132,Clayton Kershaw,2022,FA,34,3.49,1.1,11,7,0.61,21,21,0,0,130,111,50,17,32,149,27.80%,6.00%,55
10954,594798,Jacob deGrom,2022,NYM,34,2.5,0.95,10,6,0.62,20,20,0,0,130,89,36,14,35,196,35.70%,6.50%,40
16918,596133,Luke Weaver,2022,ARI,29,4.4,1.31,5,12,0.29,23,23,0,0,130,131,64,20,39,128,23.20%,7.10%,68
25385,656876,Drew Rasmussen,2022,TBR,27,4.07,1.24,7,5,0.58,14,14,0,0,129,112,58,15,48,131,24.00%,8.70%,63
9784,572070,Garrett Richards,2022,FA,34,4.6,1.45,6,7,0.46,18,18,0,0,129,135,66,18,52,115,20.00%,9.00%,73
19911,660761,Jose Suarez,2022,LAA,24,4.45,1.29,7,9,0.44,19,19,1,0,129,120,64,18,46,116,21.80%,8.80%,68
13273,548389,Ross Stripling,2022,TOR,33,4.4,1.31,6,7,0.46,20,20,0,0,127,126,62,25,40,114,21.20%,7.70%,67
19388,664062,Tony Gonsolin,2022,LAD,28,4.13,1.25,8,6,0.57,20,20,0,0,127,109,58,15,50,132,24.80%,8.90%,63
11713,518774,Matt Harvey,2022,FA,33,5.93,1.55,6,12,0.33,24,24,0,0,126,151,83,21,44,104,18.10%,7.60%,89
10811,592314,Mike Foltynewicz,2022,FA,31,5.07,1.3,5,10,0.33,19,19,0,0,126,123,71,27,41,104,19.10%,7.50%,75
17874,641482,Nestor Cortes Jr.,2022,NYY,28,4.22,1.27,5,5,0.5,18,18,0,0,126,117,59,23,43,117,22.40%,8.20%,63
15423,571760,Andrew Heaney,2022,LAD,31,4.65,1.29,8,8,0.5,20,20,0,0,125,120,65,22,41,138,24.80%,7.60%,68
6632,471911,Carlos Carrasco,2022,NYM,35,4.36,1.31,5,8,0.38,22,22,0,0,125,122,61,20,42,128,23.90%,7.80%,64
12730,607259,Nick Martinez,2022,SDP,32,4.2,1.29,4,4,0.5,22,22,0,0,125,120,58,17,41,96,20.50%,8.50%,65
13781,622072,Alex Wood,2022,SFG,31,4.02,1.22,8,6,0.57,21,21,0,0,123,111,55,16,39,133,24.10%,7.60%,60
11760,592767,Drew Smyly,2022,FA,33,4.61,1.37,8,6,0.57,19,19,0,0,123,123,63,22,46,126,23.40%,8.50%,68
6902,527048,Martin Perez,2022,FA,31,4.61,1.42,7,8,0.47,19,19,0,0,123,128,63,18,47,104,19.20%,8.50%,71
23798,677976,Randy Dobnak,2022,MIN,27,4.83,1.35,8,9,0.47,15,15,0,0,123,129,66,16,37,93,17.90%,7.00%,69
14843,547179,Michael Lorenzen,2022,LAA,30,4.4,1.33,5,5,0.5,21,21,0,0,120,113,59,14,47,110,22.60%,9.40%,63
5372,501381,Michael Pineda,2022,FA,33,4.1,1.28,8,7,0.53,22,22,0,0,120,121,55,16,33,107,21.00%,6.20%,60
14078,608379,Michael Wacha,2022,BOS,31,4.52,1.38,5,7,0.42,20,20,0,0,120,128,60,22,38,116,22.00%,7.10%,64
8223,474463,Brett Anderson,2022,FA,34,4.24,1.34,7,9,0.44,22,22,0,0,119,122,56,15,37,85,16.50%,7.10%,62
4153,453562,Jake Arrieta,2022,FA,36,5.6,1.56,7,11,0.39,22,22,0,0,119,137,74,21,49,100,18.50%,8.90%,81
4806,448179,Rich Hill,2022,BOS,42,3.94,1.26,7,8,0.47,22,22,0,0,119,104,52,16,46,115,21.30%,8.90%,55
17735,641302,Tyler Alexander,2022,DET,28,4.45,1.35,4,6,0.4,14,14,0,0,118,123,58,19,36,105,21.20%,7.00%,61
19990,669060,Bryse Wilson,2022,PIT,25,4.63,1.38,5,7,0.42,19,19,0,0,115,118,59,19,41,96,19.50%,8.10%,63
3184,456034,David Price,2022,LAD,37,4.25,1.31,6,4,0.6,17,17,0,0,115,113,54,15,38,101,21.00%,8.10%,59
27458,547942,Kwang-hyun Kim,2022,FA,34,4.1,1.26,8,6,0.57,20,20,0,0,115,103,52,14,42,93,18.80%,8.50%,58
16933,622694,Elieser Hernandez,2022,MIA,27,4.25,1.28,5,6,0.45,19,19,0,0,114,110,54,21,36,112,23.10%,7.30%,58
22343,#N/A,A.J. Alexy,2022,TEX,29,4.34,1.3,7,6,0.54,14,14,0,0,112,97,54,16,49,102,21.70%,10.20%,58
17149,593334,Domingo German,2022,NYY,30,4.34,1.25,7,5,0.58,17,17,0,0,112,105,54,19,35,112,23.70%,7.30%,57
22815,672715,Luis Patino,2022,TBR,23,4.26,1.29,6,5,0.55,16,16,0,0,112,101,53,15,43,116,24.80%,9.20%,57
18356,642545,Jaime Barria,2022,LAA,26,4.5,1.34,2,3,0.4,15,15,0,0,110,116,55,17,31,73,18.70%,7.70%,58
19278,#N/A,Vladimir Gutierrez,2022,CIN,29,4.5,1.36,9,7,0.56,18,18,0,0,110,105,55,17,45,101,20.00%,8.90%,58
11189,592826,Vince Velasquez,2022,FA,30,5.28,1.43,5,7,0.42,19,19,0,0,109,108,64,20,48,117,24.20%,10.00%,67
14663,592346,Chi Chi Gonzalez,2022,FA,30,5.58,1.45,4,8,0.33,16,16,0,0,108,118,67,17,39,83,17.20%,8.00%,70
19268,643290,Justin Dunn,2022,SEA,27,4.17,1.25,6,5,0.55,19,19,0,0,108,88,50,17,47,106,22.80%,9.80%,53
16981,595881,Tyler Beede,2022,SFG,29,4.35,1.31,5,6,0.45,15,15,0,0,107,104,52,16,36,99,22.60%,8.40%,55
11589,570632,Jose Urena,2022,FA,31,5.14,1.48,5,9,0.36,15,15,0,0,105,113,60,15,42,83,17.60%,9.00%,65
18510,#N/A,Josh Rogers,2022,WSN,29,4.67,1.35,6,6,0.5,13,13,0,0,105,101,54,17,41,91,20.00%,8.70%,57
17964,#N/A,Tyler Gilbert,2022,ARI,29,4.61,1.33,5,5,0.5,13,13,1,1,104,99,53,13,39,74,17.30%,8.40%,59
3542,518633,Danny Duffy,2022,FA,34,4.37,1.34,6,6,0.5,18,18,0,0,103,98,50,15,40,100,22.50%,8.70%,54
23252,675921,Spencer Howard,2022,TEX,26,5.33,1.42,4,7,0.36,19,19,0,0,103,104,61,16,42,104,22.80%,9.30%,66
18790,596071,Dillon Peters,2022,PIT,30,4.58,1.37,6,6,0.5,14,14,0,0,102,103,52,17,37,95,21.30%,8.30%,58
2429,446372,Corey Kluber,2022,TBR,36,4.22,1.3,8,7,0.53,18,18,1,1,100,89,47,12,41,115,24.10%,9.20%,52
20243,#N/A,Zac Lowther,2022,BAL,29,4.9,1.39,5,6,0.45,14,14,0,0,100,101,54,16,38,96,22.60%,8.70%,57
14975,641771,Chad Kuhl,2022,FA,30,4.45,1.37,5,7,0.42,26,26,0,0,99,136,49,15,0,1,0.22%,0.11%,56
15890,622663,Luis Severino,2022,NYY,28,3.72,1.19,6,5,0.55,17,17,0,0,95,80,39,12,33,98,24.20%,8.30%,43
19871,#N/A,Tucker Davidson,2022,ATL,29,4.4,1.34,4,6,0.4,13,13,0,0,95,87,46,14,40,85,20.60%,9.60%,55
19754,#N/A,Reiver Sanmartin,2022,CIN,29,4.4,1.32,7,5,0.58,11,11,0,0,93,89,45,11,34,84,21.00%,8.20%,48
22192,#N/A,Hans Crouse,2022,PHI,29,4.3,1.32,5,7,0.42,12,12,0,0,92,84,44,13,37,86,21.60%,9.40%,48
10131,544931,Stephen Strasburg,2022,WSN,34,4.24,1.25,9,8,0.53,16,16,0,0,92,78,43,13,37,107,24.00%,8.50%,46
17969,663567,Peter Lambert,2022,COL,25,5.14,1.43,5,5,0.5,16,16,0,0,91,97,52,14,33,83,20.50%,8.30%,55
4776,533167,Matt Shoemaker,2022,FA,36,5.5,1.39,4,7,0.36,13,13,0,0,90,89,55,18,36,77,19.50%,9.00%,59
15440,571510,Matthew Boyd,2022,FA,31,4.42,1.31,6,10,0.38,16,16,0,0,90,87,44,16,31,97,23.00%,7.60%,47
6895,502624,Chase Anderson,2022,FA,35,5.4,1.42,4,5,0.44,13,13,0,0,85,89,51,16,32,78,20.70%,8.40%,54
15906,626929,Lewis Thorpe,2022,MIN,27,4.66,1.45,4,5,0.44,19,19,0,0,83,120,43,13,0,1,0.20%,0.09%,48
15036,608328,Chase De Jong,2022,FA,29,5.49,1.45,4,6,0.4,13,13,0,0,82,119,50,15,0,1,0.22%,0.09%,52
7754,571666,Mike Fiers,2022,FA,37,4.62,1.37,6,4,0.6,12,12,0,0,78,80,40,13,27,60,17.60%,7.80%,42
13619,596001,Jakob Junis,2022,FA,30,5.04,1.4,4,6,0.4,18,18,0,0,75,105,42,13,0,1,0.22%,0.08%,44
11490,592717,Aaron Sanchez,2022,FA,30,4.38,1.38,3,5,0.38,11,11,0,0,74,72,36,9,30,66,20.30%,9.40%,39
2717,519144,Rick Porcello,2022,FA,34,5.11,1.42,4,6,0.4,12,12,0,0,74,81,42,10,24,67,20.50%,7.30%,46
6249,502239,Trevor Cahill,2022,FA,34,4.93,1.37,3,6,0.33,10,10,0,0,73,70,40,11,30,69,21.60%,9.30%,43
3284,434671,Anibal Sanchez,2022,FA,38,5,1.44,5,5,0.5,11,11,0,0,72,77,40,12,27,62,19.30%,8.30%,43
8753,543699,Tanner Roark,2022,FA,36,5.12,1.49,4,5,0.44,12,12,0,0,72,79,41,14,28,66,20.40%,8.80%,45
10836,592879,Asher Wojciechowski,2022,FA,34,5.14,1.41,3,5,0.38,10,10,0,0,70,71,40,14,28,65,21.00%,8.90%,42
6797,527054,Julio Teheran,2022,FA,31,5.27,1.41,4,5,0.44,12,12,0,0,70,68,41,13,31,62,20.10%,9.90%,43
6345,502042,Chris Archer,2022,FA,34,4.57,1.36,3,4,0.43,10,10,0,0,67,64,34,11,27,69,23.60%,9.10%,37
1994,467100,Ivan Nova,2022,FA,35,5.06,1.44,4,4,0.5,10,10,0,0,64,69,36,10,23,50,17.70%,8.00%,39
3254,502188,Jeff Samardzija,2022,FA,37,4.78,1.28,3,4,0.43,10,10,0,0,64,61,34,12,21,52,19.10%,7.60%,37
8362,456701,Homer Bailey,2022,FA,36,4.35,1.31,4,3,0.57,9,9,0,0,62,59,30,8,22,57,21.40%,8.10%,32
4972,430935,Cole Hamels,2022,FA,39,4.43,1.36,3,4,0.43,9,9,0,0,61,59,30,8,24,58,21.90%,8.90%,32
17553,621058,Andrew Moore,2022,FA,28,4.35,1.3,3,3,0.5,7,7,0,0,60,56,29,8,22,59,22.90%,8.40%,31
3543,453329,Clay Buchholz,2022,FA,38,4.8,1.37,3,4,0.43,8,8,0,0,60,60,32,9,22,54,20.70%,8.30%,34
5867,517593,Danny Salazar,2022,FA,32,4.35,1.32,3,4,0.43,7,7,0,0,60,56,29,9,23,58,22.40%,8.70%,31
4772,433587,Felix Hernandez,2022,FA,36,4.8,1.38,3,4,0.43,8,8,0,0,60,60,32,10,23,55,21.00%,8.60%,35
10130,502190,Mike Leake,2022,FA,35,4.35,1.32,3,3,0.5,8,8,0,0,60,62,29,10,17,49,19.00%,6.50%,33
16017,628333,Odrisamer Despaigne,2022,FA,35,4.5,1.37,3,4,0.43,7,7,0,0,60,59,30,9,23,57,21.80%,8.60%,33
12699,543001,Ryan Carpenter,2022,FA,32,4.95,1.38,3,4,0.43,8,8,0,0,60,61,33,9,22,56,21.30%,8.20%,36
9149,543532,Tim Melville,2022,FA,33,4.35,1.33,3,4,0.43,8,8,0,0,60,57,29,9,23,57,22.00%,8.70%,31
7872,475115,Tyson Ross,2022,FA,35,4.5,1.37,3,4,0.43,7,7,0,0,60,58,30,9,24,56,21.40%,9.00%,33
15821,642607,Dario Agrazal,2022,FA,28,4.34,1.29,3,3,0.5,7,7,0,0,58,55,28,9,20,52,20.90%,7.90%,30
4505,519455,Jordan Zimmermann,2022,FA,36,5.43,1.47,2,4,0.33,8,8,0,0,58,65,35,8,20,50,19.40%,7.60%,38
12703,545333,Trevor Bauer,2022,FA,31,6.5,2,8,7,0.53,1,1,1,1,1,0,1,0,2,16,11.00%,20.00%,1
